Date,BTC,Energy,GPR
2022/02/25,0.532372942,0.828346478,-0.331582716
2022/02/26,0.565751738,0.865186321,-0.272738116
2022/02/27,0.652037355,0.795367827,-0.270027514
2022/02/28,1.244636381,0.767200715,-0.235429377
2022/03/01,1.155920695,0.746620493,0.071439786
2022/03/02,1.212017469,0.774551503,0.114135841
2022/03/03,1.239595674,0.793513371,0.217077287
2022/03/04,0.98653363,0.733541055,0.324280845
2022/03/05,0.983301529,0.648809834,0.290109466
2022/03/06,0.994687054,0.725852708,0.34115414
2022/03/07,1.014265459,0.703114174,0.294723834
2022/03/08,1.032497033,0.611245193,0.40565633
2022/03/09,1.010349428,0.459605576,0.389511266
2022/03/10,0.984350279,0.47956012,0.295332643
2022/03/11,1.033640985,0.602684221,0.202747982
2022/03/12,0.988610205,0.608483886,0.232648318
2022/03/13,0.988872926,0.745541145,0.343717187
2022/03/14,0.858268868,0.744918986,0.234096805
2022/03/15,0.874581953,0.460796487,0.234847659
2022/03/16,0.786795226,0.430200646,0.236247181
2022/03/17,0.911585383,0.4834817,0.31606036
2022/03/18,0.826168358,0.58282845,0.314181861
2022/03/19,1.000932344,0.460352444,0.361527019
2022/03/20,1.010114305,0.334379087,0.414572723
2022/03/21,1.025527659,0.244367548,0.282678005
2022/03/22,0.92910312,0.262852413,0.237093538
2022/03/23,0.878547601,0.154649507,0.293535196
2022/03/24,0.901064687,0.105471806,0.317809585
2022/03/25,0.852475646,0.043690775,0.378911163
2022/03/26,0.923127664,0.0572919,0.39327299
2022/03/27,0.849054165,0.150387549,0.533439005
2022/03/28,0.827191025,0.221578765,0.386849885
2022/03/29,0.804357344,0.283065174,0.539704946
2022/03/30,-0.230371045,0.211646479,0.440457264
2022/03/31,-0.091170495,0.272621339,0.46930458
2022/04/01,-0.170250641,0.113649812,0.518462475
2022/04/02,-0.214652055,0.058633724,0.468008059
2022/04/03,0.295945967,0.117029793,0.338520063
2022/04/04,0.307528099,0.162280572,0.364802681
2022/04/05,0.311299313,0.261313241,0.276601384
2022/04/06,0.140153632,0.296567102,0.322726715
2022/04/07,0.176821792,0.344156659,0.233113231
2022/04/08,-0.253061915,0.437811077,0.215026566
2022/04/09,-0.012092267,0.586554061,0.328909893
2022/04/10,-0.01782435,0.586647878,0.433266656
2022/04/11,-0.347592054,0.586690774,0.293128315
2022/04/12,-0.486596777,0.438463784,0.261810842
2022/04/13,-0.626816618,0.295861931,0.061507761
2022/04/14,-0.558018894,0.647989704,0.009135352
2022/04/15,-0.715265837,0.639997901,0.055915913
2022/04/16,-0.722222448,0.500803947,0.061703335
2022/04/17,-0.603472957,0.461095449,0.092529316
2022/04/18,-0.591931656,0.545798726,0.086587819
2022/04/19,-0.732684379,0.683095965,0.042496486
2022/04/20,-0.73742659,0.744742823,-0.113468069
2022/04/21,-0.64201409,0.288043854,-0.04686881
2022/04/22,-0.518999671,-0.041740911,0.324933688
2022/04/23,-0.468458157,0.046492993,0.20449736
2022/04/24,-0.438507611,0.092914283,-0.367925339
2022/04/25,-0.446995097,0.107688368,1.249322215
2022/04/26,-0.800633957,0.045417549,1.237605768
2022/04/27,-0.727450134,-0.076034181,1.31682593
2022/04/28,-0.730634554,0.118139665,1.297362274
2022/04/29,-0.641192566,0.238418483,1.328226916
2022/04/30,-0.672156846,0.157943056,1.317329401
2022/05/01,-0.664165659,0.208951431,0.987953402
2022/05/02,-0.704371952,0.199987061,0.892916515
2022/05/03,-0.595870524,0.304475556,0.838986506
2022/05/04,-0.331734459,0.411468086,0.788532819
2022/05/05,-0.59179862,0.410551003,0.879030704
2022/05/06,-0.669833783,0.320648952,0.799014761
2022/05/07,-0.598617384,0.327791663,0.89063436
2022/05/08,-0.57008359,0.387363587,0.867053966
2022/05/09,-1.013699367,0.349294939,0.730237835
2022/05/10,-1.043351558,0.274021151,0.708151044
2022/05/11,-1.042984521,0.149222996,0.722988422
2022/05/12,-1.038786876,0.273961094,0.779850396
2022/05/13,-1.060223536,0.370794522,0.806722525
2022/05/14,-1.137831807,0.326335812,0.809989009
2022/05/15,-1.062670081,0.27766086,0.779950044
2022/05/16,-0.924512124,0.250452831,0.662505257
2022/05/17,-0.986671929,0.19212097,0.636871293
2022/05/18,-0.827661589,0.254351553,0.728286969
2022/05/19,-0.687683061,0.241672836,0.727834188
2022/05/20,-0.594089902,0.248207571,0.731524081
2022/05/21,-0.660060313,0.164607483,0.710642904
2022/05/22,-0.723686315,0.146501556,0.87144019
2022/05/23,-0.629738,0.045705188,0.732382174
2022/05/24,-0.653674832,0.00500716,0.924711599
2022/05/25,-0.625328869,-0.132940709,-0.145626107
2022/05/26,-0.740541324,-0.211242002,-0.18777565
2022/05/27,-0.668695339,-0.20647537,-0.18642562
2022/05/28,-0.661476705,-0.169121244,-0.133563776
2022/05/29,-0.762828742,-0.222085512,-0.099243939
2022/05/30,-0.59280569,-0.220420971,-0.123211233
2022/05/31,-0.566182648,-0.159448414,0.114081533
2022/06/01,-0.443469931,-0.196072391,0.232597336
2022/06/02,-0.525208332,-0.191775043,0.358131366
2022/06/03,-0.475887161,-0.425306974,0.369417635
2022/06/04,-0.574221024,-0.509674531,0.391123975
2022/06/05,-0.618737615,-0.496677208,0.500182007
2022/06/06,-0.650282004,-0.491072705,0.742447718
2022/06/07,-0.741524514,-0.328554469,0.780022191
2022/06/08,-0.197613951,0.065541778,0.87400723
2022/06/09,-0.131288698,-0.215241052,0.901097447
