Date,BTC,Energy,GPR,,,
2021/11/29,-0.138028095,4.168464915,-0.359039595,,,
2021/11/30,-0.159547868,3.36275022,-0.403339732,,,
2021/12/01,-0.157283715,3.395324587,-0.230675541,,,
2021/12/02,0.016816422,3.035481434,-0.008717398,,,
2021/12/03,-0.255452425,3.16315774,-0.002695965,,,
2021/12/04,0.059580507,3.095459012,0.0655079,,,
2021/12/05,0.062432111,3.388262161,0.191163655,,,
2021/12/06,-0.021286919,3.329437448,0.451155206,,,
2021/12/07,0.10252132,2.552314404,0.43888449,,,
2021/12/08,0.447457838,2.561638895,0.342343744,,,
2021/12/09,0.107563907,2.293183775,0.51566661,,,
2021/12/10,0.238656401,2.93327425,0.525189057,,,
2021/12/11,-0.01413264,2.807028659,0.485160073,,,
2021/12/12,-0.024841196,2.735308287,0.474863056,,,
2021/12/13,-0.262879483,2.617049851,0.542252765,,,
2021/12/14,-0.232769795,2.611018988,0.558155828,,,
2021/12/15,-0.339973681,2.573371787,0.655921279,,,
2021/12/16,-0.178568445,2.302409093,0.353012102,,,
2021/12/17,-0.293997633,1.900510768,0.239157297,,,
2021/12/18,-0.056990928,1.956568923,0.279104144,,,
2021/12/19,0.005232867,2.879226107,0.290805166,,,
2021/12/20,0.112042585,2.870832308,0.664003292,,,
2021/12/21,-0.073039931,1.982643936,0.391142729,,,
2021/12/22,0.146344944,1.892175494,-1.206984923,,,
2021/12/23,-0.011062812,2.620641441,-1.099762995,,,
2021/12/24,0.067175057,2.763433613,-1.09415654,,,
2021/12/25,0.106832818,2.718496676,-0.233190116,,,
2021/12/26,0.437488526,0.68843893,0.04693917,,,
2021/12/27,0.542937916,0.662799237,-0.207682492,,,
2021/12/28,0.441390554,0.681133855,-0.103962344,,,
2021/12/29,0.350012723,0.666054564,-0.048588538,,,
2021/12/30,0.340603297,1.104433516,0.858218596,,,
2021/12/31,0.279289602,1.104511957,0.525017783,,,
2022/01/01,0.169161828,1.634462975,0.494050631,,,
2022/01/02,0.502679492,1.579709994,0.307074334,,,
2022/01/03,0.192451712,1.589653934,0.331398685,,,
2022/01/04,0.159538002,1.789149519,0.156306732,,,
2022/01/05,-0.0317115,1.833153054,0.234842503,,,
2022/01/06,-0.049211389,2.145638493,0.347005944,,,
